channel_id,title,description,published_at,uploads_id,view_count,subscriber_count,video_count
UCMrF7OdgLb18wjk8U-wB5sg,Trey Zo & Rappy Boy,"#dudeclickmadeboom
Two blood brothers doing music all the way from East Africa, Burundi🇧🇮 ",2016-02-19 23:54:25+00:00,UUMrF7OdgLb18wjk8U-wB5sg,2763327,37000,8
UCLP7iLOB-VJ0-G_xhmYlupw,We Love Muzik,"We love Muzik (WLM) is a group of two young talented Burundian Artists; Dj Fernando and Gusto Kuriyo whom are signed under db Music Entertainment to help them push their work further. WLM started their music journey back in 2019 where they were able to release few songs. In 2020 in December, they released a hit song called ""MOLO"" that brought attention from all over the world due to the smoothness and well produced of the masterpiece. From there, they have been rising to the level that no one expected. Since then they have released songs like "" LIKE YOU"", ""AWAY"" and now their recent work is their first EP called ""MALO"" which includes 5 total songs. The goals of this group is to promote their lovely country and culture all around the world through their art of music. With the help of each one of you who are reading this, YES WE CAN. For support reach out: muzikwelove@gmail.com",2019-09-25 20:25:32+00:00,UULP7iLOB-VJ0-G_xhmYlupw,2921849,36400,23
UCbZrCOhe0bL-voF-XZXjNww,Meili Official,"Mugisha Merveille nicknamed Meili is a Burundian artist ,singer and songwriter,
Sing more than 3 languages,
My music genre specialities is Rnb,kizomba, Afro beat, Afro pop,Dancehall 
My music journey started back in 2010 when i was a member of a gospel group, moved to china when i  won multiple trophies of singing competitions: 2014,2016,2019, representing the city i was living in “NANJING”  after i came back from china i did a collabo with one of the best rappers in Burundi « B-face » the song “Insolites” and another one with one of best Djs « Dj Paulin » “Nobody” i appeared in the video and that’s where the demand of more of my own songs started from the fans..
 And there i am with my first video of the song that i called « Dukate »
I need your Support on this journey I’m starting as my new career 
Kindly Subscribe,like ,comment and share with your friends and Family much love for you all ❤️
I hope you enjoy it.....
",2015-08-11 07:00:35+00:00,UUbZrCOhe0bL-voF-XZXjNww,873673,21600,9
UCRcdTAThRDRmkaJ4oCkfNTg,Mt number one,#weezynation,2011-09-15 22:59:23+00:00,UURcdTAThRDRmkaJ4oCkfNTg,3526056,43400,28
UCUd4fa52670kqYxyw-dfU0g,Mutama w’UBUKi🍯,Official account of @easy_boy257 a.k.a Mutama w’UBUKi,2022-01-22 18:32:48.820793+00:00,UUUd4fa52670kqYxyw-dfU0g,219943,6250,2
UC5AplB8THLND3Dm3V_8c6RA,LinoG Umvukuri,"I'm LinoG Umvukuri
-Burundian rapper🇧🇮
-Singer and song's writer✍️
#UmvukuriGang🦍
",2018-02-05 10:01:05+00:00,UU5AplB8THLND3Dm3V_8c6RA,170275,9150,9
UCGsE-DkfHgcjm-erxuneEhQ,Berry Music,East African Musician and song writter from Burundi🇧🇮🇧🇮,2020-06-20 22:41:43.893724+00:00,UUGsE-DkfHgcjm-erxuneEhQ,1370817,27600,7
UC5RZCpNS9GY1M9_4vABle4w,D-ONE,"Dieudonne Ndayikengurukiye (born 15 May 1996), better known by his stage name D-ONE is a Burundian singer, and songwriter who is currently signed to ITEKA MUSIC Management in Burundi. 

 In 2021, D-ONE emerged in the spotlight with his debut song ""Waiting"", which introduced him to the world. Later on, he has released many more songs including ""Body"" featuring Social Mula"" which grabbed different charts In Burundi and Rwanda and some other part of the world. 

D-ONE managed to grab a very deserving AWARDS as the best upcoming artist of the year in 2021, till then he hasn't stopped  releasing hit after hit which makes him one of most trending artist in the country.
",2021-04-16 07:39:02.969173+00:00,UU5RZCpNS9GY1M9_4vABle4w,4038617,66600,20
UCalraCaqhTtBXpAgzDNbqTw,Double Jay OnceAgain,Musician from East Africa Burundi,2018-01-11 15:17:08+00:00,UUalraCaqhTtBXpAgzDNbqTw,6080491,89100,16
UCqYNg_aU09T-PNdupL0Ka6Q,Kirikou A-kili,,2018-07-11 10:27:17+00:00,UUqYNg_aU09T-PNdupL0Ka6Q,3612345,72300,11
UChFNdXDc35jvpqY_BZUVpwg,Thizzy official,Artiste/chanteur,2016-02-22 15:52:06+00:00,UUhFNdXDc35jvpqY_BZUVpwg,91810,3260,15
UCUC8xYQ7ZjVytirEJzqxsHg,R-Flow The Raincoat,,2019-03-21 06:10:19+00:00,UUUC8xYQ7ZjVytirEJzqxsHg,1387867,34100,19
UCkKTwGg9aVGJw-Y21hFG5Qg,Natacha Burundi,"Natacha Ngendabanka, chanteuse et compositrice burundaise avec un style typiquement africain
FOLLOW ME ON FACEBOOK at: www.facebook.com/natachaburundi
FOLLOW ME ON SOUNDCLOUD at: https://soundcloud.com/natachaburundi",2015-04-22 13:38:38+00:00,UUkKTwGg9aVGJw-Y21hFG5Qg,5299971,59100,146
UC8CCClnyP52IVAtYXVHBvvw,Vichou Love,,2017-07-02 09:23:15+00:00,UU8CCClnyP52IVAtYXVHBvvw,1399521,26900,65
UCAHRby1-eD2Zxzp0ltrxjsw,B-Face Official,"
",2016-09-19 16:27:14+00:00,UUAHRby1-eD2Zxzp0ltrxjsw,5000036,83800,169
UCaacfL2w4mWVASATj5XcS7A,DJ. LEWIS,,2016-04-17 20:51:35+00:00,UUaacfL2w4mWVASATj5XcS7A,668669,15400,6
UCtYLotDCyNHvwjnEiTIr7iA,Sat-B,"Sat-B is a Burundian singer/songwriter who started his solo career in 2009 after breaking off from his former music group Wanavesi Kikosi. His solo career led him to his stardom and massive success in Burundi. He made his big break 2010 with the single Inkuru y'Ukuri and since then he has consistently delivered hit after hit. With a career spanning a decade, he has risen to become one of Burundi’s biggest stars in R&B and Hip-Hop and ready to conquer Africa. He continues to collaborate with different artists in the region.
",2014-09-24 21:12:35+00:00,UUtYLotDCyNHvwjnEiTIr7iA,17600614,197000,111
UCoDM7tA0Egi6oOZ0HXjSBZg,Mo'W Kanzie Official,"Mo'W Kanzie vient de Monna Walda Kaneza mon nom…
 De nationalité et d’origine Burundaise🇧🇮.

N'oubliez surtout pas de me faire l'honneur de vous abonner😉
Et n'oubliez pas aussi la cloche de notifications pour ne rater aucune de mes vidéos😉.

Bisous
Que Dieu vous bénisse",2014-07-27 17:19:23+00:00,UUoDM7tA0Egi6oOZ0HXjSBZg,1611439,33700,56
UCz43BLa4tq0JvitUi6yAUNA,Drama T,"IRADUKUNDA Hery born (23rd July 2002) is a Burundian musician, songwriter and dancer who goes by the stage name DRAMA T. 
",2015-10-04 07:01:25+00:00,UUz43BLa4tq0JvitUi6yAUNA,5592469,88400,7
UClxlH3vgq31sVE-KdoytB2A,Ado Josan,Ado Josan,2014-02-15 09:28:54+00:00,UUlxlH3vgq31sVE-KdoytB2A,4714515,52400,19
UCNzcpb75Oeq9hs5sMX8ThTQ,Monia Fleur,,2022-08-26 17:23:37.583526+00:00,UUNzcpb75Oeq9hs5sMX8ThTQ,315913,7500,2
UCkyBtxQh0H5yOU5RjtHNr-w,Vania Ice,Vania Ice is a Burundian Female Artist Singer/Songwriter and Performer,2018-12-01 06:09:35+00:00,UUkyBtxQh0H5yOU5RjtHNr-w,431874,13300,8
UCRuEBttZI9Q3oWwyj9F0byg,El Pro Burundi,,2015-11-03 09:57:14+00:00,UURuEBttZI9Q3oWwyj9F0byg,785357,25100,18
UCqFJ9aC_2uHG6c9YRnAW5zA,Big Fizzo Official,"Welcome to the official YouTube channel of Big Fizzo. An East Africa musician from Burundi.
Big fizzo is a Musician,  Music Producer,  Artist,  Film Actor,  Dancer,  Songwriter and more...

Plz...  Subscribe for the latest music videos, performances,  Films ,  and more...

",2016-04-08 20:27:08+00:00,UUqFJ9aC_2uHG6c9YRnAW5zA,6987205,112000,93
UC4p-gO6XjwnP73PvOSCKwaQ,Alvin Smith Official,Bienvenue sur Ma Chaine YouTube #AlvinSmithOfficial,2013-04-26 09:18:03+00:00,UU4p-gO6XjwnP73PvOSCKwaQ,4369810,69800,163
UC7TaNWr6GltNDVP8klOwmBw,MB DATA Boy,,2020-06-02 20:48:20.691902+00:00,UU7TaNWr6GltNDVP8klOwmBw,2546306,45100,23
UCXNmNQjUs2zmvSY8r8OPzgQ,Victorious Team,"""Victorious Team"" is a christian gospel hiphop group, based in Burundi, composed by multiple authors, compositors and singers of many different urban styles of music, under the anointing for the work of the Prophet Evrard Sinagaye(TRM church).
""We preach the Truth revealed: Jesus dead on the cross for our redemption.""
In activity since 2016, ""Victorious Team"" has been delivering its best works on Youtube and all medias of the country (and outside) for a pure entertainment and gospel teaching purpose. 
For any question, contact us on our email: victoriousteam16@gmail.com
Or welcome to our work place: TRM church(Truth Revealed Ministry).",2017-09-05 01:32:38+00:00,UUXNmNQjUs2zmvSY8r8OPzgQ,1048216,19600,20
UCmUDUNppfq7ofpxXYcxZrZA,OLEGUE,,2020-08-15 20:21:21.409918+00:00,UUmUDUNppfq7ofpxXYcxZrZA,2381193,48100,5
UC9E7m6sVh7qP3uy_i4rFXlQ,Wiz Designer,"Christian Uwimana  is a Burundian Songwriter, a Singer who goes by the stage name Wiz Designer a.k.a African BadMan",2019-05-30 00:31:59+00:00,UU9E7m6sVh7qP3uy_i4rFXlQ,2135775,39900,39
UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish Official ♪,Music is my life...,2018-08-14 12:38:10+00:00,UUD6q_wl-ZQACvCMvn7o46Cw,1271789,30700,35
