videoViewCount,videoLikeCount,favoriteCount,commentCount,videoPublishedAt,channelId,title,description,thumbnails,channelTitle,tags,categoryId,liveBroadcastContent,localized,defaultAudioLanguage,defaultLanguage,0,channel_title,channelViewCount,channelSubscriberCount,country
15906,1765,0,272,2021-09-19 17:00:12,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish - Francine Niyonsaba (Fire Cine) [Official Audio],"Burundian athlete Niyonsaba Francine has just written the lines of history in her own way. Selected for the Tokyo Olympics which took place from July 23 to August 8, 2021 in Japan, she got disqualified which she described as unfair.

In the process, she goes on to competitions which she all wins with one notable exception. In fact, on Tuesday September 14, 2021 at the Boris Hanzekovic Memorial, Francine won the 2000m competition and broke the world record. Burundians all over the world are celebrating this courageous woman.

Esther Nish went quickly into studio to pay a tribute to this brave woman. In a song. Enjoy it.
____
L’athlète burundais Niyonsaba Francine vient d’écrire les lignes de l’histoire à sa façon. Sélectionnée pour les jeux olympiques de Tokyo qui se déroulèrent du 23 juillet au 8 août 2021 au Japon, elle écope d’une disqualification qu’elle qualifiera d’injuste. 
Dans la foulée elle enchaine avec des compétions qu’elle remporte toutes avec une exception marquante. En effet le mardi 14 septembre 2021 au Mémorial Boris Hanzekovic, Francine remporte la compétition sur 2000m et bat le record mondial. Elle enflamme les esprits des burundais partout dans le monde. 
Esther Nish se dit qu’elle doit rendre un homme à cette brave femme. Dans une chanson. Enjoy it.

Composition & Lyrics: Esther Nish
Audio Production: Master Muzik, Producer F.I.G
Executive Production: Bukiv Lab
___
Connect with ESTHER NISH on social media:
**********************************************
Facebook  : https://www.facebook.com/Esther-Nish-...
Instagram : https://www.facebook.com/Esther-Nish-...
Twitter       : https://twitter.com/EstherNish
Youtube    :https://www.youtube.com/channel/UCD6q...","{'default': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/sddefault.jpg', 'width': 640, 'height': 480}}",Esther Nish Official ♪,"['Esther Nish', '#FrancineNiyonsaba #WorldRecord #WorldChampion']",10,none,"{'title': 'Esther Nish - Francine Niyonsaba (Fire Cine) [Official Audio]', 'description': 'Burundian athlete Niyonsaba Francine has just written the lines of history in her own way. Selected for the Tokyo Olympics which took place from July 23 to August 8, 2021 in Japan, she got disqualified which she described as unfair.\n\nIn the process, she goes on to competitions which she all wins with one notable exception. In fact, on Tuesday September 14, 2021 at the Boris Hanzekovic Memorial, Francine won the 2000m competition and broke the world record. Burundians all over the world are celebrating this courageous woman.\n\nEsther Nish went quickly into studio to pay a tribute to this brave woman. In a song. Enjoy it.\n____\nL’athlète burundais Niyonsaba Francine vient d’écrire les lignes de l’histoire à sa façon. Sélectionnée pour les jeux olympiques de Tokyo qui se déroulèrent du 23 juillet au 8 août 2021 au Japon, elle écope d’une disqualification qu’elle qualifiera d’injuste. \nDans la foulée elle enchaine avec des compétions qu’elle remporte toutes avec une exception marquante. En effet le mardi 14 septembre 2021 au Mémorial Boris Hanzekovic, Francine remporte la compétition sur 2000m et bat le record mondial. Elle enflamme les esprits des burundais partout dans le monde. \nEsther Nish se dit qu’elle doit rendre un homme à cette brave femme. Dans une chanson. Enjoy it.\n\nComposition & Lyrics: Esther Nish\nAudio Production: Master Muzik, Producer F.I.G\nExecutive Production: Bukiv Lab\n___\nConnect with ESTHER NISH on social media:\n**********************************************\nFacebook  : https://www.facebook.com/Esther-Nish-...\nInstagram : https://www.facebook.com/Esther-Nish-...\nTwitter       : https://twitter.com/EstherNish\nYoutube    :https://www.youtube.com/channel/UCD6q...'}",en,,10,Esther Nish Official ♪,1269410,30700,NO
15906,1765,0,272,2021-09-19 17:00:12,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish - Francine Niyonsaba (Fire Cine) [Official Audio],"Burundian athlete Niyonsaba Francine has just written the lines of history in her own way. Selected for the Tokyo Olympics which took place from July 23 to August 8, 2021 in Japan, she got disqualified which she described as unfair.

In the process, she goes on to competitions which she all wins with one notable exception. In fact, on Tuesday September 14, 2021 at the Boris Hanzekovic Memorial, Francine won the 2000m competition and broke the world record. Burundians all over the world are celebrating this courageous woman.

Esther Nish went quickly into studio to pay a tribute to this brave woman. In a song. Enjoy it.
____
L’athlète burundais Niyonsaba Francine vient d’écrire les lignes de l’histoire à sa façon. Sélectionnée pour les jeux olympiques de Tokyo qui se déroulèrent du 23 juillet au 8 août 2021 au Japon, elle écope d’une disqualification qu’elle qualifiera d’injuste. 
Dans la foulée elle enchaine avec des compétions qu’elle remporte toutes avec une exception marquante. En effet le mardi 14 septembre 2021 au Mémorial Boris Hanzekovic, Francine remporte la compétition sur 2000m et bat le record mondial. Elle enflamme les esprits des burundais partout dans le monde. 
Esther Nish se dit qu’elle doit rendre un homme à cette brave femme. Dans une chanson. Enjoy it.

Composition & Lyrics: Esther Nish
Audio Production: Master Muzik, Producer F.I.G
Executive Production: Bukiv Lab
___
Connect with ESTHER NISH on social media:
**********************************************
Facebook  : https://www.facebook.com/Esther-Nish-...
Instagram : https://www.facebook.com/Esther-Nish-...
Twitter       : https://twitter.com/EstherNish
Youtube    :https://www.youtube.com/channel/UCD6q...","{'default': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/St8rOQMyiHg/sddefault.jpg', 'width': 640, 'height': 480}}",Esther Nish Official ♪,"['Esther Nish', '#FrancineNiyonsaba #WorldRecord #WorldChampion']",10,none,"{'title': 'Esther Nish - Francine Niyonsaba (Fire Cine) [Official Audio]', 'description': 'Burundian athlete Niyonsaba Francine has just written the lines of history in her own way. Selected for the Tokyo Olympics which took place from July 23 to August 8, 2021 in Japan, she got disqualified which she described as unfair.\n\nIn the process, she goes on to competitions which she all wins with one notable exception. In fact, on Tuesday September 14, 2021 at the Boris Hanzekovic Memorial, Francine won the 2000m competition and broke the world record. Burundians all over the world are celebrating this courageous woman.\n\nEsther Nish went quickly into studio to pay a tribute to this brave woman. In a song. Enjoy it.\n____\nL’athlète burundais Niyonsaba Francine vient d’écrire les lignes de l’histoire à sa façon. Sélectionnée pour les jeux olympiques de Tokyo qui se déroulèrent du 23 juillet au 8 août 2021 au Japon, elle écope d’une disqualification qu’elle qualifiera d’injuste. \nDans la foulée elle enchaine avec des compétions qu’elle remporte toutes avec une exception marquante. En effet le mardi 14 septembre 2021 au Mémorial Boris Hanzekovic, Francine remporte la compétition sur 2000m et bat le record mondial. Elle enflamme les esprits des burundais partout dans le monde. \nEsther Nish se dit qu’elle doit rendre un homme à cette brave femme. Dans une chanson. Enjoy it.\n\nComposition & Lyrics: Esther Nish\nAudio Production: Master Muzik, Producer F.I.G\nExecutive Production: Bukiv Lab\n___\nConnect with ESTHER NISH on social media:\n**********************************************\nFacebook  : https://www.facebook.com/Esther-Nish-...\nInstagram : https://www.facebook.com/Esther-Nish-...\nTwitter       : https://twitter.com/EstherNish\nYoutube    :https://www.youtube.com/channel/UCD6q...'}",en,,10,Esther Nish Official ♪,1269941,30700,NO
12924,345,0,49,2019-05-17 16:43:58,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish-Umbamwo (audio official),#EstherNish #Umbwamwo,"{'default': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['east african music', 'burundi music']",22,none,"{'title': 'Esther Nish-Umbamwo (audio official)', 'description': '#EstherNish #Umbwamwo'}",,,22,Esther Nish Official ♪,1269410,30700,NO
12924,345,0,49,2019-05-17 16:43:58,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish-Umbamwo (audio official),#EstherNish #Umbwamwo,"{'default': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/h17vd4sJBSs/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['east african music', 'burundi music']",22,none,"{'title': 'Esther Nish-Umbamwo (audio official)', 'description': '#EstherNish #Umbwamwo'}",,,22,Esther Nish Official ♪,1269941,30700,NO
55544,3423,0,474,2022-10-05 14:57:45,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish-AKADAWA💊 (Visualizer),Akadawa is the best one Single from LUMINARY Ep,"{'default': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Big Fizzo', 'Sat b', 'Natacha Burundi', 'Meili Official', 'Kidum Kibido', 'R Flow Burundi', 'We Love Muzik', 'Ariel Way', 'Marina Rwanda', 'Bruce Melody', 'Davis D', 'Afrique', 'Harmonize', 'Zuchu', 'Citizen', 'kenya', 'tanzania', 'Shebbah Karungi', 'Rwanda', 'Ouganda', 'Yemi Alade', 'France', 'Nigeria', 'Australie', 'Norvaige']",10,none,"{'title': 'Esther Nish-AKADAWA💊 (Visualizer)', 'description': 'Akadawa is the best one Single from LUMINARY Ep'}",en,,10,Esther Nish Official ♪,1269410,30700,NO
55544,3423,0,474,2022-10-05 14:57:45,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish-AKADAWA💊 (Visualizer),Akadawa is the best one Single from LUMINARY Ep,"{'default': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Sv5nv5ckV8I/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Big Fizzo', 'Sat b', 'Natacha Burundi', 'Meili Official', 'Kidum Kibido', 'R Flow Burundi', 'We Love Muzik', 'Ariel Way', 'Marina Rwanda', 'Bruce Melody', 'Davis D', 'Afrique', 'Harmonize', 'Zuchu', 'Citizen', 'kenya', 'tanzania', 'Shebbah Karungi', 'Rwanda', 'Ouganda', 'Yemi Alade', 'France', 'Nigeria', 'Australie', 'Norvaige']",10,none,"{'title': 'Esther Nish-AKADAWA💊 (Visualizer)', 'description': 'Akadawa is the best one Single from LUMINARY Ep'}",en,,10,Esther Nish Official ♪,1269941,30700,NO
60314,2093,0,312,2020-01-25 22:00:14,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish - Huruma [official video],"#EstherNish #KirundiMusic #Huruma#Ngomma


©2020 Administered by Esther Nish Burundi

Produced and Directed by Bedi Best
Shooted by Logic Jamal","{'default': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Esther Nish', 'Kirundi Music', 'Fresh music', 'Kidum', 'Big Fizzo', 'Channy Queen', 'Ngomma', 'Ngomma vas', 'Ngomma.com', 'sat-b', 'natasha', 'cooke studio', 'afrimax tv', 'churchill show', 'indundi tv', 'dj funny 257', 'Radio 10', 'Marcy Masika', 'Nyanshiski', 'Sauti sol', 'Willy paul', 'Bosco Niyo', 'Israel mbonyi']",10,none,"{'title': 'Esther Nish - Huruma [official video]', 'description': '#EstherNish #KirundiMusic #Huruma#Ngomma\n\n\n©2020 Administered by Esther Nish Burundi\n\nProduced and Directed by Bedi Best\nShooted by Logic Jamal'}",en,,10,Esther Nish Official ♪,1269410,30700,NO
60314,2093,0,312,2020-01-25 22:00:14,UCD6q_wl-ZQACvCMvn7o46Cw,Esther Nish - Huruma [official video],"#EstherNish #KirundiMusic #Huruma#Ngomma


©2020 Administered by Esther Nish Burundi

Produced and Directed by Bedi Best
Shooted by Logic Jamal","{'default': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pwNTRGdxkk0/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Esther Nish', 'Kirundi Music', 'Fresh music', 'Kidum', 'Big Fizzo', 'Channy Queen', 'Ngomma', 'Ngomma vas', 'Ngomma.com', 'sat-b', 'natasha', 'cooke studio', 'afrimax tv', 'churchill show', 'indundi tv', 'dj funny 257', 'Radio 10', 'Marcy Masika', 'Nyanshiski', 'Sauti sol', 'Willy paul', 'Bosco Niyo', 'Israel mbonyi']",10,none,"{'title': 'Esther Nish - Huruma [official video]', 'description': '#EstherNish #KirundiMusic #Huruma#Ngomma\n\n\n©2020 Administered by Esther Nish Burundi\n\nProduced and Directed by Bedi Best\nShooted by Logic Jamal'}",en,,10,Esther Nish Official ♪,1269941,30700,NO
130859,3153,0,375,2019-09-25 05:00:14,UCD6q_wl-ZQACvCMvn7o46Cw,Bitu Mingi -  Esther Nish (Official music video),"#EstherNish #KirundiMusic #NgommaBurundi #BukivLab


ESTHER NISH  is a super talented artist based in Bujumbura, Burundi.
Borned and raised in Burundi.
She relocated in Burundi.
She started to  sing when she was 8 years old.
she can play guitar and piano.
She is a best live music performer and vocalist.
In this song (BITU MINGI) She gave us her best
This video shooted by Grand Pictures


©2019 Administered by BUKIV Lab","{'default': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Esther Nish', 'Kirundi Music', 'Fresh music', 'Kidum', 'Ngomma', 'Ngomma vas', 'Ngomma.com', 'Bitu Mingi - Esther Nish']",10,none,"{'title': 'Bitu Mingi -  Esther Nish (Official music video)', 'description': '#EstherNish #KirundiMusic #NgommaBurundi #BukivLab\n\n\nESTHER NISH  is a super talented artist based in Bujumbura, Burundi.\nBorned and raised in Burundi.\nShe relocated in Burundi.\nShe started to  sing when she was 8 years old.\nshe can play guitar and piano.\nShe is a best live music performer and vocalist.\nIn this song (BITU MINGI) She gave us her best\nThis video shooted by Grand Pictures\n\n\n©2019 Administered by BUKIV Lab'}",,,10,Esther Nish Official ♪,1269410,30700,NO
130859,3153,0,375,2019-09-25 05:00:14,UCD6q_wl-ZQACvCMvn7o46Cw,Bitu Mingi -  Esther Nish (Official music video),"#EstherNish #KirundiMusic #NgommaBurundi #BukivLab


ESTHER NISH  is a super talented artist based in Bujumbura, Burundi.
Borned and raised in Burundi.
She relocated in Burundi.
She started to  sing when she was 8 years old.
she can play guitar and piano.
She is a best live music performer and vocalist.
In this song (BITU MINGI) She gave us her best
This video shooted by Grand Pictures


©2019 Administered by BUKIV Lab","{'default': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/I7fvx4-RC0g/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Esther Nish Official ♪,"['Esther Nish', 'Kirundi Music', 'Fresh music', 'Kidum', 'Ngomma', 'Ngomma vas', 'Ngomma.com', 'Bitu Mingi - Esther Nish']",10,none,"{'title': 'Bitu Mingi -  Esther Nish (Official music video)', 'description': '#EstherNish #KirundiMusic #NgommaBurundi #BukivLab\n\n\nESTHER NISH  is a super talented artist based in Bujumbura, Burundi.\nBorned and raised in Burundi.\nShe relocated in Burundi.\nShe started to  sing when she was 8 years old.\nshe can play guitar and piano.\nShe is a best live music performer and vocalist.\nIn this song (BITU MINGI) She gave us her best\nThis video shooted by Grand Pictures\n\n\n©2019 Administered by BUKIV Lab'}",,,10,Esther Nish Official ♪,1269941,30700,NO
