video_id,title,channel_id,description,tags,published_at,duration,view_count,like_count,comment_count,categories,duration_seconds,producers,directors
2GJKDs7Xhms,"Vania Ice - Narahezagiwe ft B face, Dj Paulin (Official audio video)",UCkyBtxQh0H5yOU5RjtHNr-w,"When Dancehall meets Gospel in Burundi, this time around Vania Ice alongside B Face on the Flo Rap Commando reveals a new face. 
 Narahezagiwe”I’ve been blessed” her new single.
For she has been blessed, she doesn’t focus on background noise makers.
They live with mockers on a daily  basis but the God we serve is the Great AM. 
Our blessings are rooted in Prayer, they can not be up rooted by their hands.
They stay behind us.
Thanks to the prayer, it helped me turn the situation around.
They don’t cease to write us off but when God surprises us He catches them off guard.

Narahezagiwe was produced by Amir Pro in MA Production and directed by Landry SB and in Grand Pictures production.

Follow Vania Ice on :
https://www.facebook.com/mvpvania
https://www.instagram.com/mvpvania/
https://www.youtube.com/@mvpvania
https://www.tiktok.com/@mvpvania","['bface', 'vaniaice', 'burundi', 'djpaulin', 'rwanda']",2023-03-09 18:00:07+00:00,PT2M51S,50952,4394,347,"['Christian Music', 'Electronic Music', 'Hip Hop Music', 'Music', 'Pop Music']",171.0,[],[]
RCJoF2qAKJc,Vania Ice - I Dey feat. Kivumbi,UCkyBtxQh0H5yOU5RjtHNr-w,"Artist: Vania Ice ft. Kivumbi 
Directed by Meddy Saleh
La Prod music video
Audio by Eagle Naud",[],2022-11-25 16:27:23+00:00,PT3M10S,66071,3700,246,"['Hip Hop Music', 'Music', 'Pop Music']",190.0,[],[]
QOFonQE-Eo0,Vania Ice - FOREVER (Official Lyric Video),UCkyBtxQh0H5yOU5RjtHNr-w,"#Vania #Ice #Forever
Stream Forever: https://bfan.link/forever-17

Director: Landry SB
Audio: Prince Kiizi
songwriters: Prince Kiizi & Vania Ice
Dressed by Ucoco Brand


Follow Vania Ice on :
Instagram : https://www.instagram.com/vania_ice/
Facebook : https://www.facebook.com/Vania_Ice-231936208788910","['vanilla ice', 'vania', 'ice', 'forever', 'wedding', 'new song rwanda', 'new song burundi', 'video burundi']",2022-06-24 16:48:33+00:00,PT3M53S,46624,2339,197,"['Christian Music', 'Music', 'Pop Music']",233.0,[],[]
ksmmUkDQgvA,Vania Ice - Contigo (Official video),UCkyBtxQh0H5yOU5RjtHNr-w,"#Vania #Ice #Contigo
Stream Contigo: https://bfan.link/contigo-2

Produced by I.K. Clement
Directed by Landry Sb

Follow Vania Ice on :
Instagram : https://www.instagram.com/vania_ice/
Facebook : https://www.facebook.com/Vania_Ice-231936208788910","['#summertime', '#latina', 'vania ice', 'kina music', 'contigo', 'new song rwanda', 'indirimbo nyarwanda', 'latino songs', 'amor', 'kigali music 2022', 'summertime', 'indirimbo', 'official video music']",2022-05-19 15:57:26+00:00,PT3M28S,71902,2698,274,"['Music', 'Music Of Latin America', 'Pop Music']",208.0,[['I']],[]
gGRSsPVL8f4,Vania Ice - Sinshaka (Official video),UCkyBtxQh0H5yOU5RjtHNr-w,"Music Video by Vania Ice performing Sinshaka.

Stream & Download: https://bfan.link/sinshaka-4

Produced by Kolly da Magic
Directed by Landry SB

Follow Vania Ice on :

Instagram : https://www.instagram.com/vania_ice/
Facebook : https://www.facebook.com/Vania_Ice-231936208788910/?ref=pages_you_manage","['burundi', 'vania', 'love songs', 'cheating', 'official video', 'Vania Ice', 'official video Burundi', 'Couple burundi', 'Marriage Burundi', 'sinshaka']",2022-03-04 08:31:35+00:00,PT3M54S,64942,2569,247,"['Music', 'Pop Music']",234.0,[],[]
XkPmKq1wG1c,VANIA ICE   LATER (Official music video),UCkyBtxQh0H5yOU5RjtHNr-w,"#later #vaniaice #burundian
Stream & Download LATER : https://bfan.link/later-by-vania-ice
Vania Ice's 'Later' out now : https://youtu.be/XkPmKq1wG1c
Written by Vania Ice 
Song Produced By Trick On the beat
Video Directed by Landry SB under Grand Pictures
DOP : KEVIN CAMPOS
ASSISTANT DIRECTOR : KARIM ALABA &  EVRANO 
LOCATION MANAGER : G-BO BANGALIZER
SET DESIGNER ESTIME KUR & EVRANO
 SET DESIGNER  ASSISTANT  : KARIM ALABA ,KEVIN CAMPOS
Dressed : KIMORA
Makeup : KIMORA
Location: Burundi - (Inkuba fitness & Zanzi Bar)
Enjoy The Vibe!
Follow Vania Ice on :
Instagram : https://www.instagram.com/vania_ice/
Facebook : https://www.facebook.com/Vania_Ice-231936208788910/?ref=pages_you_manage","['Vania Ice', 'vania', 'ice', 'later', 'Ihela']",2021-11-26 06:00:10+00:00,PT3M6S,58791,2463,231,"['Music', 'Music Of Asia', 'Pop Music']",186.0,[],[]
YCDwFKlS3yc,Ihela by Vania Ice (Official video),UCkyBtxQh0H5yOU5RjtHNr-w,"Stream & Download Ihela: https://bfan.link/ihela

Vania Ice's 'Ihela' out now: https://youtu.be/YCDwFKlS3yc

Written by Vania Ice 
Song Produced By Amir Pro
Video Directed by Landry SB under Grand Pictures
Dressed by Kimora 
Dancers : D.M Team
Location: Burundi - (Bujumbura, kiriri &Buyenzi)
Enjoy The Vibe!
Follow Vania Ice on :
Instagram : https://www.instagram.com/vania_ice/
Facebook : https://www.facebook.com/Vania_Ice-231936208788910/?ref=pages_you_manage
#vania_ice #burundi #ihela","['Vania Ice', 'Ihela', 'mwaro', 'amahera', 'Official video', 'amapiano', 'burundi music', 'burundi songs', 'new hit burundi', 'hit songs 2021']",2021-09-10 16:45:13+00:00,PT3M21S,50255,2247,217,"['Christian Music', 'Music', 'Pop Music']",201.0,[],[]
pKN8tMLJ6NM,You say - Lauren Daigle ( Cover by : Vania Ice),UCkyBtxQh0H5yOU5RjtHNr-w,"Lauren is one of my favorites artists!! It is such an honor to cover her song "" You Say"". 
Leave a comment below and a song that you want me to cover next.
#laurendaigle #yousay #praise #worship #praiseandworship #Burundi #dream #love #Jesus #God #HolySpirit #passion #cover #coverartist #coversongs #EastAfrican #singing #worshipartist #artist #singing #music #musician",[],2021-05-21 16:00:10+00:00,PT4M11S,11202,809,73,"['Christian Music', 'Music', 'Pop Music']",251.0,[],[]
bOQIxHrlf_Y,Soba Dance challenge,UCMrF7OdgLb18wjk8U-wB5sg,,[],2023-02-19 06:59:01+00:00,PT16S,2517,121,2,"['Entertainment', 'Hip Hop Music', 'Performing Arts']",16.0,[],[]
y7zp3ZR5USc,Trey Zo & Rappy Boy - Soba (Official Video),UCMrF7OdgLb18wjk8U-wB5sg,"Streaming link:
https://fanlink.to/ik4g
.
Video by John Elart
Audio by Kolly Da Magic
Styled by Kay Mars, World of Fashion and Rampage Candy
Special thanks to World Beach, Bruno Bula, Université du Burundi, Oscar Fashion,","['#dudeclickmadeboom', '#soba', '#eastafrica']",2022-12-15 15:54:25+00:00,PT3M46S,251760,9671,961,"['Hip Hop Music', 'Music', 'Pop Music', 'Reggae']",226.0,[],[]
